Passos,Frequencia
0,1
1,1
2,1
3,1
4,1
5,2
6,2
7,4
8,4
9,6
10,6
11,8
12,10
13,14
14,18
15,24
16,29
17,35
18,43
19,57
20,63
21,81
22,80
23,105
24,138
25,124
26,171
27,186
28,195
29,268
30,201
31,289
32,416
33,290
34,428
35,261
36,408
37,618
38,371
39,571
40,629
41,483
42,782
43,400
44,652
45,1050
46,510
47,863
48,384
49,672
50,1148
51,496
52,879
53,935
54,660
55,1158
56,458
57,847
58,1337
59,588
60,1101
61,391
62,756
63,1424
64,503
65,975
66,703
67,637
68,1250
69,408
70,831
71,1467
72,536
73,1073
74,343
75,720
76,1417
77,439
78,908
79,252
80,559
81,1181
82,341
83,729
84,1130
85,467
86,1002
87,287
88,622
89,1234
90,385
91,820
92,227
93,499
94,1060
95,312
96,676
97,878
98,421
99,860
100,255
101,555
102,1091
103,351
104,719
105,205
106,429
107,938
108,283
109,614
110,175
111,380
112,807
113,234
114,492
115,870
116,311
117,647
118,207
119,430
120,919
121,296
122,603
123,210
124,417
125,826
126,292
127,579
128,609
129,405
130,778
131,295
132,559
133,1052
134,383
135,730
136,263
137,502
138,959
139,337
140,658
141,297
142,468
143,910
144,300
145,593
146,1148
147,389
148,780
149,245
150,501
151,995
152,313
153,645
154,202
155,417
156,853
157,252
158,536
159,782
160,337
161,711
162,193
163,431
164,913
165,250
166,563
167,141
168,329
169,753
170,199
171,434
172,149
173,254
174,576
175,150
176,338
177,745
178,195
179,452
180,109
181,259
182,609
183,149
184,351
185,84
186,198
187,481
188,114
189,278
190,573
191,150
192,360
193,73
194,195
195,472
196,93
197,246
198,47
199,128
200,340
201,55
202,163
203,82
204,74
205,226
206,37
207,121
208,319
209,58
210,165
211,18
212,63
213,205
214,27
215,92
216,9
217,36
218,129
219,19
220,62
221,195
222,27
223,97
224,9
225,38
226,126
227,19
228,59
229,6
230,24
231,90
232,11
233,40
234,43
235,22
236,68
237,12
238,35
239,96
240,15
241,46
242,11
243,32
244,77
245,15
246,42
247,6
248,19
249,51
250,9
251,29
252,72
253,13
254,43
255,6
256,20
257,52
258,7
259,28
260,4
261,11
262,36
263,7
264,16
265,32
266,9
267,26
268,5
269,11
270,30
271,6
272,20
273,2
274,8
275,29
276,3
277,11
278,2
279,5
280,13
281,1
282,6
283,22
284,2
285,9
286,0
287,2
288,13
289,0
290,2
291,0
292,0
293,6
294,0
295,2
296,7
297,0
298,2
299,0
300,0
301,9
302,0
303,3
304,0
305,2
306,10
307,1
308,3
309,0
310,2
311,7
312,0
313,2
314,7
315,0
316,3
317,0
318,0
319,4
320,0
321,2
322,0
323,1
324,4
325,0
326,0
327,3
328,0
329,1
330,0
331,0
332,3
333,0
334,1
335,0
336,0
337,1
338,0
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,1
